Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R9,180,R_0402_1005Metric,87.056,-54.5,90.0,top
R10,316,R_0402_1005Metric,90.106,-50.3,0.0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-28.83,180.0,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-30.53,180.0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.7,-34.7,180.0,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-32.23,0.0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.9,-26.3,-90.0,top
R16,1k,C_0402_1005Metric,93.0,-38.0,90.0,top
R18,1k,C_0402_1005Metric,117.3,-39.4,0.0,top
R19,316,R_0402_1005Metric,90.106,-51.5,0.0,top
R20,27,C_0402_1005Metric,103.0,-38.0,0.0,top
R21,27,C_0402_1005Metric,103.0,-37.0,0.0,top
R24,316,R_0402_1005Metric,90.106,-52.7,0.0,top
R25,316,R_0402_1005Metric,90.106,-53.9,0.0,top
RV1,R_POT_MountingPin,GCC_Slider,85.99,-36.13,180.0,bottom
RV2,R_POT_MountingPin,GCC_Slider,135.99,-36.13,180.0,bottom
S1,BOOTSEL,SW_TS-1187A-B-A-B,97.5,-32.5,-90.0,top
SW1,A,ABXY_Contact_Omron_Switch,152.24,-51.08,0.0,top
SW2,B,ABXY_Contact_Omron_Switch,137.04,-58.78,41.0,top
SW3,X,ABXY_Contact_Omron_Switch,166.54,-47.68,12.0,top
SW4,Y,ABXY_Contact_Omron_Switch,148.24,-36.98,-63.0,top
SW5,Start,Start_Contact,110.99,-51.18,0.0,top
SW6,L,Pin_Header_Straight_1x02_Pitch2.54mm,50.75,-60.0,0.0,bottom
SW7,R,Pin_Header_Straight_1x02_Pitch2.54mm,170.815,-61.595,0.0,bottom
SW8,Z,Z_Switch_Edge_Omron,161.141443,-35.505,-30.0,top
SW9,Dleft,Dpad_Contact_TL3315NF_2,80.74,-81.13,180.0,top
SW10,Dup,Dpad_Contact_TL3315NF_2,88.69,-73.18,-90.0,top
SW11,Dright,Dpad_Contact_TL3315NF_2,96.64,-81.13,180.0,top
SW12,Ddown,Dpad_Contact_TL3315NF_2,88.69,-89.08,90.0,top
U1,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,86.2,-40.8,0.0,top
U2,Stickbox_Assembly_Main,GCC_Stickbox_Hall_Only,69.795083,-51.128232,177.0,top
U3,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,109.518,-77.41,90.0,top
U4,DRV5055A2xDBZxQ1,SOT-23,123.716,-89.91,-90.0,top
U5,Stickbox_Assembly_CStick,GCC_Stickbox_Hall_Only,123.719,-98.604552,-90.0,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,54.9,-68.8,0.0,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,97.0,-48.0,90.0,top
U8,RP2040,RP2040-QFN-56,110.0,-39.0,90.0,top
U9,DRV5055A2xDBZxQ1,SOT-23,132.418,-98.61,180.0,top
U10,DRV5055A2xDBZxQ1,SOT-23,69.350935,-59.811215,87.0,top
U11,DRV5055A2xDBZxQ1,SOT-23,78.475,-51.575,177.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,120.9,-40.65,180.0,top
